link_name,link_url,episode_name,episode_link,,,,,,,,
אטלנטה,https://en.wikipedia.org/wiki/Atlanta_(TV_series),פרק #96 – נלי תגר אלופה ביחסי אנוש,https://geekonomy.net/2017/01/17/geekonomy96/,,,,,,,,
ארטיק מסטיק,https://www.youtube.com/watch?v=s-eH5uX3pTc,פרק #96 – נלי תגר אלופה ביחסי אנוש,https://geekonomy.net/2017/01/17/geekonomy96/,,,,,,,,
הסדרה על או.ג'יי סימפסון עליה נלי המליצה,http://www.imdb.com/title/tt2788432/,פרק #96 – נלי תגר אלופה ביחסי אנוש,https://geekonomy.net/2017/01/17/geekonomy96/,,,,,,,,
Mini Metro,http://store.steampowered.com/app/287980/,פרק #96 – נלי תגר אלופה ביחסי אנוש,https://geekonomy.net/2017/01/17/geekonomy96/,,,,,,,,
בגרות,http://www.seret.co.il/movies/s_movies.asp?MID=5416,פרק #96 – נלי תגר אלופה ביחסי אנוש,https://geekonomy.net/2017/01/17/geekonomy96/,,,,,,,,
גיוס הכסף למען ואדים,http://my.israelgives.org/he/campaign/fightingforvadim,פרק #97 – נועד להט לוחם מקצועי,https://geekonomy.net/2017/01/19/geekonomy97/,,,,,,,,
קייל קינגסברי,https://en.wikipedia.org/wiki/Kyle_Kingsbury,פרק #97 – נועד להט לוחם מקצועי,https://geekonomy.net/2017/01/19/geekonomy97/,,,,,,,,
הדף של נועד בשרדוג,http://www.sherdog.com/fighter/Noad-Lahat-35732,פרק #97 – נועד להט לוחם מקצועי,https://geekonomy.net/2017/01/19/geekonomy97/,,,,,,,,
הסרט עם וויל סמית' שעוסק בנזק מוחי,http://www.imdb.com/title/tt3322364/,פרק #97 – נועד להט לוחם מקצועי,https://geekonomy.net/2017/01/19/geekonomy97/,,,,,,,,
פדור אמליאננקו,https://en.wikipedia.org/wiki/Fedor_Emelianenko,פרק #97 – נועד להט לוחם מקצועי,https://geekonomy.net/2017/01/19/geekonomy97/,,,,,,,,
ג'וש תומפסון,https://en.wikipedia.org/wiki/Josh_Thomson,פרק #97 – נועד להט לוחם מקצועי,https://geekonomy.net/2017/01/19/geekonomy97/,,,,,,,,
האתר של נועד,http://www.noadlahat.com/,פרק #97 – נועד להט לוחם מקצועי,https://geekonomy.net/2017/01/19/geekonomy97/,,,,,,,,
האקדמיה של עידו פריינטה,https://parientemma.com/home-il.html,פרק #97 – נועד להט לוחם מקצועי,https://geekonomy.net/2017/01/19/geekonomy97/,,,,,,,,
הטור של סייד קשוע עליו ראם דיבר,http://www.haaretz.co.il/opinions/1.3251793,פרק #98 – אבי בוסקילה רוצה שלום עכשיו!,https://geekonomy.net/2017/01/24/geekonomy98/,,,,,,,,
שלום ועכשיו,http://peacenow.org.il/,פרק #98 – אבי בוסקילה רוצה שלום עכשיו!,https://geekonomy.net/2017/01/24/geekonomy98/,,,,,,,,
הדף של אבי בוסקילה,https://www.facebook.com/avi.buskila.94,פרק #98 – אבי בוסקילה רוצה שלום עכשיו!,https://geekonomy.net/2017/01/24/geekonomy98/,,,,,,,,
דירק ג'נטלי,http://www.imdb.com/title/tt4047038/,פרק #98 – אבי בוסקילה רוצה שלום עכשיו!,https://geekonomy.net/2017/01/24/geekonomy98/,,,,,,,,
אוזריה,https://www.facebook.com/ouzeria/,פרק #98 – אבי בוסקילה רוצה שלום עכשיו!,https://geekonomy.net/2017/01/24/geekonomy98/,,,,,,,,
Blindspot,http://www.imdb.com/title/tt4474344/,פרק #98 – אבי בוסקילה רוצה שלום עכשיו!,https://geekonomy.net/2017/01/24/geekonomy98/,,,,,,,,
סדרת הבישול עליה דורון דיבר,http://www.cookingchanneltv.com/shows/dinner-at-tiffanis.html,פרק #98 – אבי בוסקילה רוצה שלום עכשיו!,https://geekonomy.net/2017/01/24/geekonomy98/,,,,,,,,
הראיון של טיפני אצל הווארד סטרן,https://www.youtube.com/watch?v=ZTnIviiHr3A,פרק #98 – אבי בוסקילה רוצה שלום עכשיו!,https://geekonomy.net/2017/01/24/geekonomy98/,,,,,,,,
*** הצטרפו אלינו לשידור החי של פרק #100 ביום חמישי הקרוב (2 בפברואר 2017) ***,https://www.facebook.com/events/257186134710188/,פרק #99 – קרן לנדסמן דואגת לבריאות הציבור עם זוהר זקס,https://geekonomy.net/2017/01/31/geekonomy99/,,,,,,,,
Amdocs,https://jobs.amdocs.com/,פרק #99 – קרן לנדסמן דואגת לבריאות הציבור עם זוהר זקס,https://geekonomy.net/2017/01/31/geekonomy99/,,,,,,,,
״שירלי והפחיות״,https://www.facebook.com/shirleyandthecans/,פרק #99 – קרן לנדסמן דואגת לבריאות הציבור עם זוהר זקס,https://geekonomy.net/2017/01/31/geekonomy99/,,,,,,,,
הבלוג של ד״ר קרן לנדסמן,http://www.realitybugs.me/,פרק #99 – קרן לנדסמן דואגת לבריאות הציבור עם זוהר זקס,https://geekonomy.net/2017/01/31/geekonomy99/,,,,,,,,
